Gene1,Gene2
SOX2,GAPDH
STAT3,GAPDH
AR,GAPDH
HIF1A,GAPDH
ENO1,GAPDH
POLR2A,GAPDH
NANOG,ZIC3
ZIC3,NANOG
NANOG,FOXD3
FOXD3,NANOG
NANOG,KDR
NANOG,FGF2
NANOG,SNAI1
SNAI1,NANOG
NANOG,SMAD2
SMAD2,NANOG
NANOG,PBX1
PBX1,NANOG
NANOG,EPHA1
NANOG,THY1
NANOG,POLR2H
POLR2H,NANOG
NANOG,DPPA4
NANOG,OTX2
OTX2,NANOG
NANOG,SOX3
SOX3,NANOG
NANOG,PROM1
NANOG,TBX3
TBX3,NANOG
NANOG,NR0B1
NR0B1,NANOG
NANOG,DNMT3B
DNMT3B,NANOG
NANOG,CTNNB1
CTNNB1,NANOG
NANOG,GATA4
GATA4,NANOG
NANOG,POU5F1B
NANOG,ZSCAN10
NANOG,POLR2G
POLR2G,NANOG
NANOG,ZFP42
ZFP42,NANOG
NANOG,BMP4
BMP4,NANOG
NANOG,TP53
TP53,NANOG
NANOG,TET2
NANOG,CDH2
NANOG,GATA6
GATA6,NANOG
NANOG,POLR2D
POLR2D,NANOG
NANOG,POU5F1
POU5F1,NANOG
NANOG,LIN28A
LIN28A,NANOG
NANOG,KLF5
KLF5,NANOG
NANOG,SOX17
SOX17,NANOG
NANOG,SOX2
SOX2,NANOG
NANOG,TCF4
TCF4,NANOG
NANOG,EOMES
EOMES,NANOG
NANOG,COMMD3-BMI1
NANOG,POLR2F
POLR2F,NANOG
NANOG,STAT3
STAT3,NANOG
NANOG,DNMT1
DNMT1,NANOG
NANOG,POLR2K
POLR2K,NANOG
NANOG,ALPL
NANOG,SNAI2
SNAI2,NANOG
NANOG,PRDM14
PRDM14,NANOG
NANOG,POLR2A
POLR2A,NANOG
TFDP1,FBXO5
PSMD9,FBXO5
MCM7,GMNN
MCM6,GMNN
PSMD9,GMNN
MCM2,GMNN
SOX2,GMNN
MCM3,GMNN
MCM4,GMNN
YBX1,SKIV2L2
POLR1B,SKIV2L2
POLR1A,SKIV2L2
RNPS1,SKIV2L2
HNRNPK,SKIV2L2
DDX54,SKIV2L2
ELAVL2,SKIV2L2
POLR2H,SKIV2L2
SNRPB,SKIV2L2
RBMX,SKIV2L2
SRSF6,SKIV2L2
SRSF1,SKIV2L2
MYBBP1A,SKIV2L2
POLR2G,SKIV2L2
PA2G4,SKIV2L2
SRSF3,SKIV2L2
HNRNPD,SKIV2L2
PDCD11,SKIV2L2
POLR2D,SKIV2L2
ALYREF,SKIV2L2
SRSF2,SKIV2L2
POLR2F,SKIV2L2
POLR2K,SKIV2L2
FUS,SKIV2L2
SNRPD1,SKIV2L2
CEBPZ,SKIV2L2
POLR2A,SKIV2L2
ISL1,TBX20
TBX20,ISL1
ISL1,OTX2
OTX2,ISL1
ISL1,GATA4
GATA4,ISL1
ISL1,SHOX2
SHOX2,ISL1
ISL1,GATA6
GATA6,ISL1
ISL1,SOX2
SOX2,ISL1
TP53,DAP
EGF,SPARC
HAND1,HAND2
HAND2,HAND1
HAND1,NFATC1
NFATC1,HAND1
HAND1,ADSS
ZRANB2,TTC1
NR3C1,NRIP1
NRIP1,NR3C1
NR3C1,HMGB1
NR3C1,WWP1
WWP1,NR3C1
NR3C1,IRF1
IRF1,NR3C1
NR3C1,DYNC1I1
NR3C1,CAPZA2
NR3C1,HSPA2
NR3C1,HSD17B6
NR3C1,PELP1
NR3C1,SGK1
NR3C1,PTGES3
NR3C1,TP53
TP53,NR3C1
NR3C1,SUMO2
NR3C1,PPARGC1B
PPARGC1B,NR3C1
NR3C1,HSPA4
NR3C1,SMARCC1
SMARCC1,NR3C1
NR3C1,HSP90AB1
NR3C1,HSPA8
NR3C1,DYNC1H1
NR3C1,TWIST1
TWIST1,NR3C1
NR3C1,GTF3C4
GTF3C4,NR3C1
NR3C1,SMARCD1
SMARCD1,NR3C1
NR3C1,PRKACB
NR3C1,MAPK10
MAPK10,NR3C1
NR3C1,UBE2I
NR3C1,ADIPOQ
NR3C1,BDNF
NR3C1,PGR
PGR,NR3C1
NR3C1,AR
AR,NR3C1
NR3C1,HSPA1B
NR3C1,HIF1A
HIF1A,NR3C1
NR3C1,TAT
NR3C1,PIK3R1
NR3C1,POLR2A
POLR2A,NR3C1
NR3C1,HSD11B2
NRIP1,EHHADH
CITED2,EHHADH
PPARA,EHHADH
TLR4,EHHADH
MCM6,MSH2
XRCC5,MSH2
RAD51,MSH2
PHF21A,MSH2
MCM7,MSH2
XRCC6,MSH2
TP53,MSH2
MCM2,MSH2
E2F3,MSH2
MCM3,MSH2
MCM4,MSH2
TRAF6,IL1RL1
GATA3,IL1RL1
PSMD9,ODC1
EGF,ODC1
CEBPZ,UTP15
CEBPZ,RBM34
CEBPZ,POLR1B
POLR1B,CEBPZ
CEBPZ,PA2G4
PA2G4,CEBPZ
CEBPZ,MAK16
CEBPZ,RRS1
CEBPZ,POLR1A
POLR1A,CEBPZ
CEBPZ,WDR36
CEBPZ,WDR12
CEBPZ,TRUB1
CEBPZ,DCAF13
CEBPZ,CIRH1A
CEBPZ,DDX27
CEBPZ,IMP4
CEBPZ,WDR75
CEBPZ,RSL1D1
CEBPZ,ABCE1
CEBPZ,WDR3
CEBPZ,NOC2L
CEBPZ,RPF2
CEBPZ,PDCD11
PDCD11,CEBPZ
CEBPZ,EBNA1BP2
CEBPZ,RRP1B
CEBPZ,TSR1
CEBPZ,NOP56
CEBPZ,TRMT61A
CEBPZ,DDX54
DDX54,CEBPZ
CEBPZ,NIP7
CEBPZ,WDR18
CEBPZ,TEX10
CEBPZ,HEATR1
CEBPZ,GNL3
CEBPZ,BOP1
CEBPZ,DHX37
CEBPZ,DIEXF
CEBPZ,DKC1
CEBPZ,NOP58
CEBPZ,MRTO4
CEBPZ,RRP12
CEBPZ,NOL6
CEBPZ,NOC3L
CEBPZ,LDOC1L
CEBPZ,UTP14A
CEBPZ,NOLC1
CEBPZ,LTV1
CEBPZ,WDR74
CEBPZ,FTSJ3
CEBPZ,DDX24
CEBPZ,NOP14
CEBPZ,WDR43
CEBPZ,RBM19
CEBPZ,NAT10
CEBPZ,PPAN
CEBPZ,RRP15
CEBPZ,NGDN
CEBPZ,DDX18
CEBPZ,NOC4L
CEBPZ,SDAD1
CEBPZ,NOP2
CEBPZ,LSG1
CEBPZ,BRIX1
CEBPZ,DHX15
CEBPZ,MYBBP1A
MYBBP1A,CEBPZ
ENO1,P4HB
ENO1,GOT2
ENO1,TKT
ENO1,PLG
ENO1,LDHB
ENO1,PGM1
ENO1,MDH2
ENO1,ENO2
ENO1,AKR1B15
ENO1,ENO3
ENO1,AK2
ENO1,GPI
ENO1,LDHA
ENO1,ANXA2
ENO1,H6PD
ENO1,HSPA4
ENO1,TALDO1
ENO1,HLA-DRB1
SMARCD3,WDR77
SNRPB,WDR77
RBBP4,WDR77
WDR5,WDR77
SMARCC1,WDR77
GATAD2A,WDR77
SMARCD1,WDR77
DNMT3A,WDR77
SNRPD1,WDR77
ELL2,SNAPC3
SNAPC3,ELL2
ELL2,SRRT
ELL2,POLR2G
POLR2G,ELL2
ELL2,POU2F1
POU2F1,ELL2
ELL2,AFF4
AFF4,ELL2
ELL2,TAF8
ELL2,MLLT3
MLLT3,ELL2
ELL2,POLR2D
POLR2D,ELL2
ELL2,POLR2H
POLR2H,ELL2
ELL2,AFF1
AFF1,ELL2
ELL2,POLR2F
POLR2F,ELL2
ELL2,POLR2K
POLR2K,ELL2
ELL2,INTS9
ELL2,POU2F2
POU2F2,ELL2
ELL2,INTS1
ELL2,SNAPC4
SNAPC4,ELL2
ELL2,POLR2A
POLR2A,ELL2
YBX1,CPSF3
RNPS1,CPSF3
HNRNPK,CPSF3
ELAVL2,CPSF3
POLR2H,CPSF3
SNRPB,CPSF3
RBMX,CPSF3
SRSF6,CPSF3
SRSF1,CPSF3
POLR2G,CPSF3
SRSF3,CPSF3
HNRNPD,CPSF3
POLR2D,CPSF3
ALYREF,CPSF3
SRSF2,CPSF3
POLR2F,CPSF3
POLR2K,CPSF3
FUS,CPSF3
SNRPD1,CPSF3
POLR2A,CPSF3
GSC,TFDP1
TFDP1,GSC
GSC,E2F3
E2F3,GSC
HOXB6,HOXB5
HOXB3,HOXB5
HOXB7,HOXB5
HOXB4,HOXB5
HOXB7,MEIS1
MEIS1,HOXB7
HOXB7,HOXB6
HOXB6,HOXB7
HOXB7,HOXB3
HOXB3,HOXB7
HOXB7,PBX1
PBX1,HOXB7
HOXB7,HOXB4
HOXB4,HOXB7
HOXB7,MEIS2
MEIS2,HOXB7
EGR1,JUND
JUND,EGR1
EGR1,STAT2
STAT2,EGR1
EGR1,OAS1
EGR1,FGF2
EGR1,SNAI1
SNAI1,EGR1
EGR1,PHC2
EGR1,IRF1
IRF1,EGR1
EGR1,IER2
EGR1,RBBP4
RBBP4,EGR1
EGR1,OAS2
EGR1,IFITM3
EGR1,CTNNB1
CTNNB1,EGR1
EGR1,GADD45A
EGR1,BTG2
BTG2,EGR1
EGR1,HLA-G
EGR1,TP53
TP53,EGR1
EGR1,MECOM
MECOM,EGR1
EGR1,XAF1
EGR1,IFITM1
EGR1,EGF
EGF,EGR1
EGR1,SAMHD1
EGR1,NFATC1
NFATC1,EGR1
EGR1,MX1
EGR1,GATAD2A
GATAD2A,EGR1
EGR1,CBX2
EGR1,PSMB8
EGR1,NFATC3
NFATC3,EGR1
EGR1,STAT3
STAT3,EGR1
EGR1,ISG20
EGR1,SNAI2
SNAI2,EGR1
EGR1,EZH2
EZH2,EGR1
EGR1,HLA-B
EGR1,PHC1
NFYB,FASN
NFYB,POLE4
NFYB,FDFT1
NFYB,TP53
TP53,NFYB
NFYB,CIITA
CIITA,NFYB
NFYB,HAP1
MAPK10,DUSP4
MCM7,NCAPH
MCM2,NCAPH
ESPL1,NCAPH
MCM3,NCAPH
MCM4,NCAPH
RAD51,MND1
NAA15,NAA50
HNRNPD,NAA50
FUS,NAA50
POLR2G,POLK
TP53,POLK
POLR2D,POLK
GTF2H2,POLK
PARP1,POLK
RAD51,POLK
POLR2H,POLK
POLR2F,POLK
POLR2K,POLK
TRIM25,POLK
TCEA1,POLK
POLR2A,POLK
SRSF3,FYTTD1
RNPS1,FYTTD1
ALYREF,FYTTD1
SRSF2,FYTTD1
SRSF6,FYTTD1
SRSF1,FYTTD1
TWIST1,WWP1
WWP1,TWIST1
TWIST1,SNAI1
SNAI1,TWIST1
TWIST1,FGFR1
TWIST1,ZEB2
ZEB2,TWIST1
TWIST1,VIM
TWIST1,FN1
TWIST1,TP53
TP53,TWIST1
TWIST1,CDH2
TWIST1,PPARGC1B
PPARGC1B,TWIST1
TWIST1,CDH1
TWIST1,POU5F1
POU5F1,TWIST1
TWIST1,SOX2
SOX2,TWIST1
TWIST1,TCF4
TCF4,TWIST1
TWIST1,STAT3
STAT3,TWIST1
TWIST1,ZEB1
ZEB1,TWIST1
TWIST1,SNAI2
SNAI2,TWIST1
SRC,ZC3HAV1
FXR1,ZC3HAV1
MCM4,UNG
RNPS1,DDX39A
SNRPB,DDX39A
SRSF6,DDX39A
SRSF1,DDX39A
SRSF3,DDX39A
ALYREF,DDX39A
RUVBL1,DDX39A
SRSF2,DDX39A
YBX1,SNRPA
POLR2G,SNRPA
SRSF3,SNRPA
RNPS1,SNRPA
HNRNPK,SNRPA
HNRNPD,SNRPA
KHSRP,SNRPA
POLR2D,SNRPA
ALYREF,SNRPA
SF1,SNRPA
ELAVL2,SNRPA
POLR2H,SNRPA
SRSF10,SNRPA
SNRPB,SNRPA
SRSF2,SNRPA
POLR2F,SNRPA
POLR2K,SNRPA
FUS,SNRPA
SNRPD1,SNRPA
RBMX,SNRPA
SRSF6,SNRPA
SRSF1,SNRPA
POLR2A,SNRPA
SRSF6,HNRNPM
SRSF6,MAGOH
SRSF6,SRRT
SRSF6,YBX1
YBX1,SRSF6
SRSF6,NUP153
SRSF6,CHERP
SRSF6,SF3B4
SRSF6,PPIL6
SRSF6,NUP35
SRSF6,DDX39B
SRSF6,RNPS1
RNPS1,SRSF6
SRSF6,UPF3B
SRSF6,HNRNPK
HNRNPK,SRSF6
SRSF6,RAE1
SRSF6,SNRPN
SRSF6,NUP160
SRSF6,SF1
SF1,SRSF6
SRSF6,HNRNPA1
SRSF6,ELAVL2
ELAVL2,SRSF6
SRSF6,POLR2H
POLR2H,SRSF6
SRSF6,SFPQ
SFPQ,SRSF6
SRSF6,NUP62
SRSF6,SNRPB
SNRPB,SRSF6
SRSF6,BCAS2
SRSF6,HNRNPA0
SRSF6,EIF4A3
SRSF6,LSM6
SRSF6,NUP205
SRSF6,SNRNP200
SRSF6,HNRNPF
SRSF6,HNRNPH1
SRSF6,LSM3
SRSF6,SNRNP25
SRSF6,SRPK1
SRSF6,SNRPF
SRSF6,U2SURP
SRSF6,RBMX
RBMX,SRSF6
SRSF6,SRSF1
SRSF1,SRSF6
SRSF6,DHX15
SRSF6,PUF60
SRSF6,SF3A3
SRSF6,POLR2G
POLR2G,SRSF6
SRSF6,SRSF3
SRSF3,SRSF6
SRSF6,NUP54
SRSF6,SRSF7
SRSF6,LSM5
SRSF6,NXF1
SRSF6,HNRNPD
HNRNPD,SRSF6
SRSF6,PPIL1
SRSF6,POLR2D
POLR2D,SRSF6
SRSF6,NUDT21
SRSF6,ALYREF
ALYREF,SRSF6
SRSF6,HSPA8
SRSF6,CASC3
SRSF6,HNRNPA3
SRSF6,NUP210
SRSF6,SRSF10
SRSF10,SRSF6
SRSF6,LSM4
SRSF6,HNRNPC
SRSF6,TRA2B
SRSF6,PTBP1
SRSF6,SRSF2
SRSF2,SRSF6
SRSF6,NHP2L1
SRSF6,NUP188
SRSF6,POLR2F
POLR2F,SRSF6
SRSF6,POLR2K
POLR2K,SRSF6
SRSF6,THOC3
SRSF6,CHTOP
SRSF6,FUS
FUS,SRSF6
SRSF6,SNRPD1
SNRPD1,SRSF6
SRSF6,HNRNPU
SRSF6,SNRNP40
SRSF6,CWC27
SRSF6,CPSF7
SRSF6,BUD31
SRSF6,POLR2A
POLR2A,SRSF6
SRSF6,POLDIP3
SNAI1,TBX1
SNAI1,TP53
TP53,SNAI1
SNAI1,MECOM
MECOM,SNAI1
SNAI1,CDH2
SNAI1,SMAD2
SMAD2,SNAI1
SNAI1,PHC2
SNAI1,CDH1
SNAI1,PARP1
PARP1,SNAI1
SNAI1,EGF
EGF,SNAI1
SNAI1,POU5F1
POU5F1,SNAI1
SNAI1,GATAD2A
GATAD2A,SNAI1
SNAI1,RCOR3
SNAI1,EHMT2
EHMT2,SNAI1
SNAI1,CBX2
SNAI1,SOX2
SOX2,SNAI1
SNAI1,RBBP4
RBBP4,SNAI1
SNAI1,LEF1
LEF1,SNAI1
SNAI1,STAT3
STAT3,SNAI1
SNAI1,DNMT1
DNMT1,SNAI1
SNAI1,ILK
SNAI1,SNAI2
SNAI2,SNAI1
SNAI1,CTNNB1
CTNNB1,SNAI1
SNAI1,PEBP1
SNAI1,VIM
SNAI1,EZH2
EZH2,SNAI1
SNAI1,PRMT5
SNAI1,PHC1
SNAI1,FN1
SNAI1,CTBP1
CTBP1,SNAI1
ASB9,RNF114
WWP1,RNF114
VHL,RNF114
ASB4,RNF114
RNF14,RNF114
RNF19A,RNF114
STAT3,IL9R
ASB9,FBXO9
WWP1,FBXO9
RNF19A,FBXO9
VHL,FBXO9
ASB4,FBXO9
RNF14,FBXO9
SOX4,TP53
TP53,SOX4
SOX4,LEF1
LEF1,SOX4
SOX4,SDCBP
SOX4,UBE2I
SOX4,CTNNB1
CTNNB1,SOX4
SOX4,TCF7L1
TCF7L1,SOX4
SOX3,ATXN1
RBFOX2,ATXN1
SRC,EREG
EGF,EREG
IRF1,PTGES3
IRF1,GBP6
IRF1,NCAM1
IRF1,HMGB1
IRF1,STAT2
STAT2,IRF1
IRF1,DDX58
IRF1,OAS1
IRF1,HLA-G
IRF1,IFI30
IRF1,PTAFR
IRF1,CCL5
IRF1,TRIM62
IRF1,GBP5
IRF1,TP53
TP53,IRF1
IRF1,XAF1
IRF1,IFITM1
IRF1,TRIM38
IRF1,SMARCC1
SMARCC1,IRF1
IRF1,HLA-DRB5
IRF1,SAMHD1
IRF1,MX1
IRF1,ICAM1
IRF1,TRIM22
TRIM22,IRF1
IRF1,GBP4
IRF1,CIITA
CIITA,IRF1
IRF1,SOCS3
IRF1,TLR4
TLR4,IRF1
IRF1,DKC1
IRF1,SMARCD1
SMARCD1,IRF1
IRF1,TRIM2
IRF1,TRIM35
IRF1,SP100
SP100,IRF1
IRF1,PSMB8
IRF1,HLA-DQB2
IRF1,STAT3
STAT3,IRF1
IRF1,OAS2
IRF1,ISG20
IRF1,TRIM25
TRIM25,IRF1
IRF1,IFITM3
IRF1,HLA-DRB1
IRF1,HLA-DQA1
IRF1,TRIM45
IRF1,HLA-B
IRF1,POLR2A
POLR2A,IRF1
IRF1,HLA-DQB1
BMP4,P4HB
BMP4,CALU
BMP4,CHRDL1
BMP4,HAND2
HAND2,BMP4
BMP4,IGFBP4
BMP4,WNT4
BMP4,NOG
BMP4,SPP1
BMP4,GPC3
BMP4,MATN3
BMP4,FGF2
BMP4,F5
BMP4,FOXF1
FOXF1,BMP4
BMP4,SMAD2
SMAD2,BMP4
BMP4,RGMB
BMP4,SPARCL1
BMP4,BAMBI
BMP4,AMHR2
BMP4,GOLM1
BMP4,TGFBR1
BMP4,ACVRL1
BMP4,SMAD6
SMAD6,BMP4
BMP4,CST3
BMP4,MEPE
BMP4,FSTL1
BMP4,OTX2
OTX2,BMP4
BMP4,KTN1
BMP4,MSX1
MSX1,BMP4
BMP4,BMPR2
BMP4,FAM20A
BMP4,WNT5A
BMP4,TBX3
TBX3,BMP4
BMP4,CKAP4
BMP4,CTNNB1
CTNNB1,BMP4
BMP4,GATA4
GATA4,BMP4
BMP4,BMPR1A
BMPR1A,BMP4
BMP4,FN1
BMP4,BMPER
BMP4,ZFYVE16
BMP4,HSP90B1
BMP4,TNC
BMP4,CHGB
BMP4,ID1
ID1,BMP4
BMP4,STC2
BMP4,SHOX2
SHOX2,BMP4
BMP4,FST
BMP4,MIA3
BMP4,CDH2
BMP4,CDH1
BMP4,POU5F1
POU5F1,BMP4
BMP4,APLP2
BMP4,ACVR1B
BMP4,BMP2
BMP2,BMP4
BMP4,PDIA6
BMP4,SOX17
SOX17,BMP4
BMP4,SOX2
SOX2,BMP4
BMP4,MFGE8
BMP4,XIAP
BMP4,SDC2
BMP4,LEF1
LEF1,BMP4
BMP4,FBN1
BMP4,EOMES
EOMES,BMP4
BMP4,PRSS23
BMP4,VWA1
BMP4,STAT3
STAT3,BMP4
BMP4,SMAD5
SMAD5,BMP4
BMP4,SERPINA10
BMP4,DKK1
BMP4,GREM2
BMP4,CER1
BMP4,RGMA
BMP4,PENK
BMP4,LTBP1
BMP4,GATA2
GATA2,BMP4
POLR1B,MRPS7
PDCD11,MRPS7
HNRNPAB,MRPS7
POLR2F,MRPS7
POLR1C,MRPS7
EEF1A1,MRPS7
TLR4,TNFSF9
TLE3,UBA2
RAD51,DLGAP5
MAML3,DLGAP5
ESPL1,DLGAP5
MCM4,DLGAP5
RBPJ,DLGAP5
IFI16,PYCARD
PA2G4,PYCARD
TRIM28,ZNF317
PAWR,F2RL3
UPF1,HN1L
CNTRL,TUBA4A
SRC,RAC2
MAPK10,RAC2
SRC,ARHGEF6
PA2G4,RPS16
BTF3,RPS16
RNPS1,RPS16
UPF2,RPS16
PDCD11,RPS16
SMG6,RPS16
UPF1,RPS16
RUVBL1,RPS16
EEF1A1,RPS16
MCM6,NCAPG
RAD51,NCAPG
MCM7,NCAPG
CENPK,NCAPG
MCM2,NCAPG
ESPL1,NCAPG
MCM3,NCAPG
MCM4,NCAPG
EZH2,NCAPG
UHRF1,NCAPG
TRIM25,DHX58
PHB2,KIAA1244
GRHL2,ESRP1
GRHL2,CDH1
GRHL2,GRHL1
GRHL1,GRHL2
GRHL2,EPCAM
GRHL2,OVOL2
GRHL2,ZEB1
ZEB1,GRHL2
SNRPB,DHX35
SNRPD1,DHX35
SMAD2,ZSCAN10
PBX1,ZSCAN10
POU5F1,ZSCAN10
LIN28A,ZSCAN10
SOX2,ZSCAN10
PRDM14,ZSCAN10
CTNNB1,PVRL2
PPARA,SLC27A1
SMARCD3,SLC27A1
NCOA6,SLC27A1
ZNF764,TRIM28
TRIM28,ZNF764
JUND,H2AFX
JUND,H2AFZ
JUND,HIST1H2BH
JUND,CDK4
JUND,MAPK10
MAPK10,JUND
TRIM28,ZNF70
TRIM28,ZKSCAN3
TRIM28,HN1
TRIM28,PRDM7
TRIM28,ATRX
ATRX,TRIM28
TRIM28,ZNF736
TRIM28,ZNF333
TRIM28,ZNF398
ZNF398,TRIM28
TRIM28,ZNF611
TRIM28,ZNF460
TRIM28,ZNF713
TRIM28,RAD50
TRIM28,ZFP90
TRIM28,ZNF30
TRIM28,ZNF480
TRIM28,CBX3
CBX3,TRIM28
TRIM28,ZNF585B
ZNF585B,TRIM28
TRIM28,ZNF696
TRIM28,ZNF3
TRIM28,ZNF621
TRIM28,ZFP30
TRIM28,ZNF589
ZNF589,TRIM28
TRIM28,ZNF492
TRIM28,ZNF528
TRIM28,ZNF493
TRIM28,ZNF418
TRIM28,ZFP14
TRIM28,ZNF519
TRIM28,ZNF195
TRIM28,H2AFX
TRIM28,ZKSCAN1
ZKSCAN1,TRIM28
TRIM28,ZNF441
TRIM28,TP53
TP53,TRIM28
TRIM28,ZNF785
TRIM28,TFDP1
TFDP1,TRIM28
TRIM28,ZNF555
TRIM28,ZNF716
TRIM28,CCT2
TRIM28,ZNF471
ZNF471,TRIM28
TRIM28,POU5F1
POU5F1,TRIM28
TRIM28,ZNF556
TRIM28,ZNF691
TRIM28,ZNF792
TRIM28,ZNF124
TRIM28,ZNF202
ZNF202,TRIM28
TRIM28,ZWINT
TRIM28,ZNF793
TRIM28,ZNF282
TRIM28,CCT5
TRIM28,ZNF662
TRIM28,ZNF160
ZNF160,TRIM28
TRIM28,UBE2I
TRIM28,CHAF1A
CHAF1A,TRIM28
TRIM28,ZNF667
TRIM28,ZNF92
TRIM28,ZNF490
TRIM28,ZNF665
TRIM28,ZNF732
TRIM28,ZNF607
TRIM28,ZNF587
ZNF587,TRIM28
TRIM28,ZNF668
TRIM28,ZNF37A
TRIM28,ZNF311
POLR1B,EIF2S3
PA2G4,EIF2S3
EEF1A1,EIF2S3
PDCD11,MRPL4
DDX54,PPAN
MYBBP1A,PPAN
CNBP,EIF3G
POLR1B,GRWD1
PA2G4,GRWD1
POLR1A,GRWD1
PDCD11,GRWD1
DDX54,GRWD1
POLR1C,GRWD1
MYBBP1A,GRWD1
PDCD11,NOL11
MCM7,GINS2
MCM6,GINS2
MCM2,GINS2
RAD51,GINS2
MCM3,GINS2
MCM4,GINS2
UHRF1,GINS2
BCL11B,PPP1R1B
FUS,SIGMAR1
FUS,PUF60
FUS,HNRNPM
FUS,SF3A3
FUS,MAGOH
FUS,SRRT
FUS,YBX1
YBX1,FUS
FUS,POLR2G
POLR2G,FUS
FUS,CHERP
FUS,SRSF3
SRSF3,FUS
FUS,SF3B4
FUS,PPIL6
FUS,SRSF7
FUS,LSM5
FUS,NONO
NONO,FUS
FUS,RNPS1
RNPS1,FUS
FUS,UPF3B
FUS,HNRNPK
HNRNPK,FUS
FUS,HNRNPD
HNRNPD,FUS
FUS,PPIL1
FUS,POLR2D
POLR2D,FUS
FUS,NUDT21
FUS,SNRPN
FUS,ALYREF
ALYREF,FUS
FUS,SF1
SF1,FUS
FUS,OPTN
FUS,HSPA8
FUS,HNRNPA1
FUS,CASC3
FUS,HNRNPA3
FUS,ELAVL2
ELAVL2,FUS
FUS,POLR2H
POLR2H,FUS
FUS,SRSF10
SRSF10,FUS
FUS,LSM4
FUS,SFPQ
SFPQ,FUS
FUS,SNRPB
SNRPB,FUS
FUS,HNRNPC
FUS,TRA2B
FUS,BCAS2
FUS,HNRNPA0
FUS,EIF4A3
FUS,PTBP1
FUS,LSM6
FUS,SRSF2
SRSF2,FUS
FUS,NHP2L1
FUS,ALS2
FUS,POLR2F
POLR2F,FUS
FUS,SNRNP200
FUS,HNRNPF
FUS,HNRNPH1
FUS,POLR2K
POLR2K,FUS
FUS,LSM3
FUS,ILF3
ILF3,FUS
FUS,SNRPF
FUS,SNRPD1
SNRPD1,FUS
FUS,TNPO1
FUS,HNRNPU
FUS,U2SURP
FUS,SNRNP40
FUS,RBMX
RBMX,FUS
FUS,CWC27
FUS,PRMT1
FUS,CPSF7
FUS,BUD31
FUS,SRSF1
SRSF1,FUS
FUS,POLR2A
POLR2A,FUS
FUS,DHX15
SP100,DNAJB1
DNAJC2,DNAJB1
SMARCC1,HMGB1
SMARCC1,RUNX1
RUNX1,SMARCC1
SMARCC1,ACTL6A
SMARCC1,SMARCD3
SMARCD3,SMARCC1
SMARCC1,NCR1
SMARCC1,DPF2
DPF2,SMARCC1
SMARCC1,CDK4
SMARCC1,SMARCD1
SMARCD1,SMARCC1
SMARCC1,DNMT3A
DNMT3A,SMARCC1
SMARCC1,CHAF1A
CHAF1A,SMARCC1
SMARCC1,ACTG1
SMARCC1,TBL1XR1
SMARCC1,PRMT5
SMARCC1,POLR2A
POLR2A,SMARCC1
SRSF3,NUP210
NONO,NUP210
RNPS1,NUP210
ALYREF,NUP210
SFPQ,NUP210
SNRPB,NUP210
SP100,NUP210
SRSF2,NUP210
HDAC9,NUP210
NPM1,NUP210
SNRPD1,NUP210
SRSF1,NUP210
MCM6,RPA1
RAD51,RPA1
POLR2H,RPA1
TCEA1,RPA1
MCM7,RPA1
POLR2G,RPA1
XRCC6,RPA1
TP53,RPA1
POLR2D,RPA1
GTF2H2,RPA1
PARP1,RPA1
PURA,RPA1
MCM2,RPA1
POLR2F,RPA1
POLR2K,RPA1
TRIM25,RPA1
MCM3,RPA1
MCM4,RPA1
POLR2A,RPA1
RBBP4,KDM6B
WDR5,KDM6B
TP53,KDM6B
ASH2L,KDM6B
EZH2,KDM6B
POLR1B,NIP7
PA2G4,NIP7
POLR1A,NIP7
PDCD11,NIP7
DDX54,NIP7
POLR2H,NIP7
POLR2F,NIP7
POLR1C,NIP7
MCM6,NASP
RBBP4,NASP
MCM7,NASP
MCM2,NASP
MCM3,NASP
MCM4,NASP
RAD51,TEX15
EEF1A1,EIF2S1
MCM6,CCNB1
E2F7,CCNB1
RAD51,CCNB1
RBBP4,CCNB1
MCM7,CCNB1
CENPK,CCNB1
XRCC6,CCNB1
TP53,CCNB1
TFDP1,CCNB1
MCM2,CCNB1
ESPL1,CCNB1
MCM3,CCNB1
MCM4,CCNB1
UHRF1,CCNB1
TRAF6,IRAK2
TLR7,IRAK2
TLR4,IRAK2
VHL,UBE2G1
VHL,KLHL13
VHL,PSMB9
VHL,RNF144B
VHL,PPP2CA
VHL,PSMC5
VHL,FBXL18
VHL,UBE2V2
VHL,MYLIP
VHL,ASB9
ASB9,VHL
VHL,WWP1
WWP1,VHL
VHL,PSMB8
VHL,FBXL16
VHL,PSMA7
VHL,CDC20
VHL,COPS3
VHL,HIF3A
HIF3A,VHL
VHL,PSME3
VHL,PSMB2
VHL,ASB5
VHL,HECW2
VHL,UBE2I
VHL,NEDD4L
VHL,PSMF1
VHL,COMMD4
VHL,LMO7
VHL,EGLN1
VHL,PSMC1
VHL,RNF217
VHL,PSMB4
VHL,WSB2
VHL,ITCH
VHL,RNF138
VHL,FBXL20
VHL,PSMD9
PSMD9,VHL
VHL,LIMD1
LIMD1,VHL
VHL,PJA2
VHL,MEX3C
VHL,TRIM71
VHL,UBE2L6
VHL,UBA1
VHL,TRIM4
VHL,PSMD3
VHL,TRIM9
VHL,SH3RF1
VHL,NEDD4
VHL,FBXO27
