BRD-K70792160,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12
BRD-K14796088,COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OC
BRD-K91315211,CNCCc1ccccn1
BRD-K45275534,COc1ccc(NC(=O)c2ccc(cc2)C(=N)N(C)C)c(c1)C(=O)Nc1ccc(Cl)cn1
BRD-K38744518,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]12)C(O)=O
BRD-K16898998,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
BRD-K92441787,Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C
BRD-K46018455,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O
BRD-K29415052,COc1ccc(cn1)-c1ccc2ncc3n(C)c(=O)n(-c4ccc(N5CCNCC5)c(c4)C(F)(F)F)c3c2c1
BRD-U70626184,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
BRD-K64890080,CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
BRD-K70914287,CN1CCC(CC1)Nc1ncc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1
BRD-A29485665,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F
BRD-K18779551,CNCCCCOc1ccccc1Cc1ccccc1
BRD-A94543220,c1cn(cn1)C(c1ccccc1)c1ccc(cc1)-c1ccccc1
BRD-K51967704,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc23)c1C
BRD-A45153512,CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\C(O)CCc1ccccc1
BRD-K36467523,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(O)=O
BRD-K82244583,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(cc12)C(=O)NOCCO
BRD-A00546892,OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1
BRD-K71221037,CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1[nH]c2cc(F)ccc2c1C[C@@H]1C[C@H](O)CN1C(=O)[C@H](CC)NC(=O)[C@H](C)NC
BRD-K31342827,CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15
BRD-A89175223,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
BRD-K13756951,C[C@H](Oc1ccc(cc1C(=O)N1CCN(CC1)c1ncc(cc1F)C(F)(F)F)S(C)(=O)=O)C(F)(F)F
BRD-K26818574,COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
BRD-K26863634,COc1ccc(cc1)C(=O)Oc1ccc(CCn2c(NC(=O)c3ccc(cc3)C(F)(F)F)nc3cc(ccc23)C(O)=O)cc1
BRD-K73368362,CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1
BRD-K25943794,CCN1CCN(CC1)c1cc(-c2ccc(F)cc2)c2CCCCCCc2n1
BRD-K02950022,C[C@@H](N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1)c1ccc(F)cc1CCCC(O)=O
BRD-K13566078,Cc1cnc2c(NCCN)nc3ccc(C)cc3n12
BRD-K43389698,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
BRD-A13021932,CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)(C)C
BRD-K07106112,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4n(Cc5cccc(F)c5)ncc4c3)c12
BRD-K49555808,Cn1c(nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O)N1CCCCS1(=O)=O
BRD-K40738845,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1
BRD-K55781385,N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)n2c3cccnc3[nH]c2=O)c2ncccc12)c1cccc(F)c1F
BRD-A15435692,OC(CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1
BRD-A07563059,Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1
BRD-K50691590,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O
BRD-K88510285,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
BRD-K74763371,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(cc2)C(C)(C)C)nc(nc1OCCO)-c1ncccn1
BRD-K99964838,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
BRD-K73261812,Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1
BRD-K96123349,Cc1c(nc2ccc(F)cc2c1C(O)=O)-c1ccc(cc1)-c1ccccc1F
BRD-K96936751,CC(C)(C)OC(=O)c1ncn-2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc-21
BRD-K00911143,O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1
BRD-K28428262,C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
BRD-A21584801,CC(O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
BRD-A63675168,OC[C@H]1O[C@H](CC1O)n1cc(\C=C\Br)c(=O)[nH]c1=O
BRD-A80151636,CC(C)CC1N2C(=O)[C@](NC(=O)C3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(OC2(O)[C@@H]2CCCN2C1=O)C(C)C
BRD-K17500877,Nc1nc(-c2ccccc2)c(Br)c(=O)[nH]1
BRD-K79095980,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(Br)c(=O)[nH]c1=O
BRD-A36057565,COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)\C=C(/C)C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)C(=O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O
BRD-K31313613,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12
BRD-A68304895,CC(C)CC(N)C1(CCC1)c1ccc(Cl)cc1
BRD-A15931911,CCCC(=O)Nc1ncnc2n(cnc12)C1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
BRD-K18324993,CC(C)(C)N1CCC(CC1)(c1ccccc1)c1ccccc1
BRD-K19462402,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1
BRD-K38197229,CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O
BRD-K42191735,Nc1cc(c(cn1)-c1cc(nc(n1)N1CCOCC1)N1CCOCC1)C(F)(F)F
BRD-A01636364,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A05186015,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BRD-K93461745,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
BRD-K23204545,CS(=O)(=O)OCCCCOS(C)(=O)=O
BRD-K23082237,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc([C@H]2C1)c34
BRD-A16665823,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
BRD-K42417338,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]4(CCCC[C@@]34O)c2c1
BRD-K28965160,CC(C)Nc1cc(-c2c[nH]c(c2)C(=O)N[C@H](CO)c2cccc(Cl)c2)c(Cl)cn1
BRD-K47983010,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c1cccs1
BRD-K49669041,Brc1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCc1c[nH]cn1
BRD-K68548958,CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
BRD-K54028654,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
BRD-K06858286,CO[C@@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@@H](OC(=O)c3ccccc3)[C@@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C
BRD-K86882815,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1
BRD-K51544265,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC
BRD-K02404261,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
BRD-K28731095,C[C@H](CCCC(C)(C)O)[C@@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
BRD-A84045418,CCCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C=O
BRD-K23248433,C[C@H]1CN(Cc2ccc(CC(=O)N3CCC(CC3)Nc3cccc(F)c3)cc2)CCN1
BRD-K43806473,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(N)=N)cc2)cc1
BRD-K37890730,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O
BRD-K90868879,Cc1ccc(cc1Cc1ccc(s1)-c1ccc(F)cc1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
BRD-K84091759,CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1
BRD-K50168500,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
BRD-A91877226,CCCCCOC(=O)Nc1nc(=O)n(cc1F)C1O[C@H](C)[C@@H](O)[C@H]1O
BRD-K50590187,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O
BRD-K75037734,C[N+](C)(C)CCOC(N)=O
BRD-K71799949,NC(=O)N1c2ccccc2C=Cc2ccccc12
BRD-A98702003,CC1(C)[C@H](CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O)OC(=O)CCC(O)=O
BRD-K87156652,CCOC(=O)n1ccn(C)c1=S
BRD-K15179879,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
BRD-K60240222,NC(=O)N[C@@H](CCC(O)=O)C(O)=O
BRD-K21670884,CC(C)c1ccc(cc1S(C)(=O)=O)C(=O)N=C(N)N
BRD-K57764956,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2cccc(Cl)c2Cl)CC1
BRD-A99939097,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
BRD-A17411484,CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21
BRD-A10977446,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
BRD-K20897876,O[C@H]1CCN2C[C@H](O)[C@@H](O)[C@H](O)[C@@H]12
BRD-K59929863,CN(C)\N=N\c1ccc(cc1)C(O)=O
BRD-K45746021,C(CN1CCCCC1)Oc1cccc(c1)-c1n[nH]c2ccc(cc12)-c1ncn[nH]1
BRD-K48213016,O[C@H]1CC[C@@H](CC1)Nc1ncc2nc(Nc3c(F)cc(F)cc3F)n([C@H]3CCOC3)c2n1
BRD-K86930074,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
BRD-K15766189,Nc1nc(cs1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O
BRD-A12077521,CO\N=C(\C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)c1csc(N)n1
BRD-K02292852,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(CSc4nnnn4C)=C(N3C2=O)C(O)=O)c2ccc(O)cc2)C(=O)C1=O
BRD-A78723049,CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O
BRD-K46970505,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccn4ncccc34)=C(N2C1=O)C(O)=O)c1nsc(N)n1
BRD-A24396574,CC1C(=O)C(=O)C=C2C1=CC=C3[C@@]2(C)CCC4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O
BRD-K02637541,Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
BRD-K20722021,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C(F)(F)F)c3)c2cc1OC
BRD-K72827473,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3C[C@H](CCCc3c2OC)N2CCN(CCO)CC2)ncc1Cl
BRD-K96194081,COc1ccc2C[C@H]3N(C)CCc4cc(OC)c(Oc5c6OCOc6cc6CCN(C)[C@@H](Cc7ccc(Oc1c2)cc7)c56)cc34
BRD-M98279124,C[C@H]1O[C@]2(CS1)CN1CCC2CC1.C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
BRD-K76969307,C1COC[C@@H]1N2C3=NC(=NC=C3N=C2NC4=C(C=C(C=C4F)F)F)NC5CCC(CC5)O
BRD-A50737080,[O-][N+](=O)c1cc(NC(=S)NC(NC(=O)C(c2ccccc2)c2ccccc2)C(Cl)(Cl)Cl)ccc1F
BRD-A40084411,CC(C)(C)NCC(O)COc1cccc2[nH]c(O)nc12
BRD-K79090631,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2
BRD-K68103045,COc1ccc(cc1)-n1nc2c3CCCCCc3[nH]cc2c1=O
BRD-K87904882,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5
BRD-K43723251,C[C@H](CCC(O)=O)[C@@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C
BRD-K16189898,Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
BRD-K29458283,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
BRD-K22969690,OC[C@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O
BRD-A20348246,CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O
BRD-A91699651,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
BRD-K17075857,Oc1c(Cl)cc(Cl)c2cccnc12
BRD-A04553218,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-K89997465,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
BRD-K97746869,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
BRD-K59058766,CN(C)CC\C=C1/c2ccccc2Sc2ccc(Cl)cc12
BRD-A26384407,NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12
BRD-K43164539,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
BRD-A72390365,C[N+](C)(C)CCOP(O)(=O)OC[C@H](O)CO
BRD-K22861715,Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccccc1
BRD-K67680372,OC(=O)C1=CCCN(CCOC(c2ccc(cc2)C(F)(F)F)c2ccc(cc2)C(F)(F)F)C1
BRD-K88544581,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
BRD-K58736316,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1
BRD-K35245662,CC(C)C(=O)OCC(=O)[C@@]12O[C@@H](O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]21C)C1CCCCC1
BRD-A93000692,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
BRD-K57252450,CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=N)NC1=O
BRD-K38473998,COc1ccc(cc1OC1CCCC1)C1(CCC(CC1)C(O)=O)C#N
BRD-K67017579,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
BRD-K34157611,CN\C(NCCSCc1nc[nH]c1C)=N/C#N
BRD-K73440166,OC(=O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(cc1)C(O)=O
BRD-K46839850,COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCN(CC(=O)N2CCCC2)CC1
BRD-K07220430,C(/C=C/c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4
BRD-K14704277,CCn1nc(C(O)=O)c(=O)c2cc3OCOc3cc12
BRD-K04804440,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
BRD-A12896037,COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c1cc(Cl)c(N)cc1OC
BRD-A47598013,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1
BRD-K00662280,Cc1nnc2ccc(nn12)-c1cccc(c1)C(F)(F)F
BRD-K93034159,Nc1nc(Cl)nc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)O1
BRD-K16762525,CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
BRD-K04704168,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc23)cc1
BRD-A75726477,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
BRD-A61676498,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1
BRD-A93964801,NC1CCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1
BRD-A52252998,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@@H](C(C)Cl)[C@H]1O[C@@H](SC)[C@H](O)[C@@H](O)[C@H]1O
BRD-A90625545,CCC(C)(Oc1ccc(cc1)C1(CCCCC1)c1ccc(OC(C)(CC)C(O)=O)cc1)C(O)=O
BRD-K09255212,Oc1c(I)cc(Cl)c2cccnc12
BRD-A26095496,CCC(=O)O[C@@]1([C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)CCl
BRD-K34022604,Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
BRD-K56614220,CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1
BRD-K45252063,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
BRD-K19111024,CC(C)(Oc1ccc(Cl)cc1)C(O)=O
BRD-K02900412,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
BRD-K50422030,Cc1ncsc1CCCl
BRD-K29950728,CCN(CC)CCOc1ccc(cc1)C(=C(/Cl)c1ccccc1)\c1ccccc1
BRD-K52989797,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12
BRD-K38183498,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
BRD-K98530306,Clc1cccc(Cl)c1N=C1NCCN1
BRD-A19952358,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O
BRD-K15916496,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
BRD-K37289225,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12
BRD-K19438463,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N
BRD-K70912147,NC(=O)N\N=C\c1ccc(Oc2ccc(F)cc2)cc1
BRD-K51040301,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1
BRD-K03390685,OC1(CN(C1)C(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F)[C@@H]1CCCCN1
BRD-K00259736,COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC
BRD-K19388745,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C
BRD-K61195623,COc1ccc(cc1O)\C=C/c1cc(OC)c(OC)c(OC)c1
BRD-K37385792,Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4-c4ccccc4)cc3)c3ccccc3-c2[nH]1
BRD-K65428967,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)C[C@H]1O
BRD-K15592317,COc1cc2ncnc(-n3nc(nc3N)-c3ccccn3)c2cc1OC
BRD-K76908866,COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1
BRD-K09090949,CCNC1(CCN(CC1)c1ncnc2n(c(nc12)-c1ccccc1Cl)-c1ccc(Cl)cc1)C(N)=O
BRD-K11073688,CC(=O)Nc1ccc(cc1)C(=O)NC(C)(C)C
BRD-A06916187,OC(=O)CCCCC(CCSCc1ccccc1)SCc1ccccc1
BRD-K78431006,C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl
BRD-K20920669,OC(COc1cccc2oc(cc(=O)c12)C(O)=O)COc1cccc2oc(cc(=O)c12)C(O)=O
BRD-K40870905,OC(=O)[C@H](Cc1ccc(Nc2nccc3ccncc23)cc1)NC1=C(Br)C(=O)C11CCCCC1
BRD-K30632436,CCOC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F
BRD-K53508936,ONC(=O)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1
BRD-K07572174,COc1cc(ccc1O)\C=C\C(=O)CC(=O)\C=C\c1ccc(O)c(OC)c1
BRD-K74148702,COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O
BRD-K90777969,COc1ccc(CCN2CCN(CCCc3ccccc3)CC2)cc1OC
BRD-K81458380,OC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc21
BRD-K25140590,O=C(N1CCCCC1)c1ccc2OCOc2c1
BRD-K12787259,CN1CCCN(CC1)c1ccc2c(n1)n1c3ccccc3sc1c(C(=O)NCc1cnc(C)cn1)c2=O
BRD-A97502381,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@@H]2[N+]3=C1C(C)=C1[C@@H](CCC(N)=O)C(C)(C)C4=[N+]1[Co]31(C#N)N3C([C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]23C)=C(C)C2=[N+]1C(=C4)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O)OP(O)(=O)O[C@@H]1[C@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12
BRD-K79501723,CN1CCN(CC1)C(c1ccccc1)c1ccccc1
BRD-K42348709,CN(C)CCC=C1c2ccccc2C=Cc2ccccc12
BRD-A69815203,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
BRD-K28143534,CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12
BRD-K59573506,CC(=O)O[C@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@H]5[C@]4(C)[C@@H]3CC[C@]12C)C(C)=O
BRD-K87737963,O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1
BRD-K23363278,CCC[C@H](Nc1nc(ncc1C)-c1ccc(NC(=O)NCC)c(OC)c1)c1cccnc1
BRD-K33106058,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
BRD-A55579717,O=c1cccc2C3CNC[C@@H](C3)Cn12
BRD-K47000838,C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C/[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
BRD-K09132007,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCCOc2c1
BRD-K71822263,N[C@H](CO)C(O)=O
BRD-K57041787,CCCCCCOC(=O)\N=C(\N)c1ccc(NCc2nc3cc(ccc3n2C)C(=O)N(CCC(=O)OCC)c2ccccn2)cc1
BRD-K09951645,CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F
BRD-K35520305,CN(C)\N=N\c1[nH]cnc1C(N)=O
BRD-K56957086,OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(\C=C\C(=O)NO)cc1
BRD-K57169635,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN1CCCCC1
BRD-K22482860,Nc1ccncc1
BRD-K83452553,CN(C)NC(=O)CCC(=O)O
BRD-A92537424,C[C@]12CCC3C(CCC4=Cc5oncc5C[C@]34C)C1CC[C@@]2(O)C#C
BRD-K35589454,NCC(=O)N1C[C@@H](C[C@H]1C(O)=O)NC(=O)c1ccccc1
BRD-K81272440,[O-][N+](=O)c1ccc(cc1)-c1ccc(\C=N\N2CC(=O)NC2=O)o1
